date,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
08-03-2021 00:00,1,44.32833333,19.99333333,64.48455,878.218,106.333,347.15,29.56,61.88
08-03-2021 01:00,1,52.10833333,23.56166667,66.38211667,879.937,108.9991667,341.91,29.515,62.04166667
08-03-2021 02:00,1,49.65833333,22.39666667,66.41483333,882.42,108.5914,339.7266667,29.485,62.12333333
08-03-2021 03:00,1,48.92666667,22.09166667,63.43761667,882.802,106.0193333,340.6,29.4,62.38666667
08-03-2021 04:00,1,56.55833333,24.61833333,60.68941667,918.137,102.569,341.4733333,29.35333333,61.245
08-03-2021 05:00,1,73.98333333,30.70666667,63.0123,1019.558,109.6892333,363.7433333,29.265,61.025
08-03-2021 06:00,1,97.175,39.64666667,66.41483333,1595.614,115.5861667,465.05,29.2,62.17666667
08-03-2021 07:00,1,112.81,44.55333333,77.01503333,2286.461,126.2194667,563.3,29.26,63.60166667
08-03-2021 08:00,1,127.2966667,43.88333333,114.6719167,1591.221,140.8363333,433.1733333,29.28666667,65.73333333
08-03-2021 09:00,1,74.74666667,32.69333333,60.59126667,1418.557,87.2307,397.3666667,27.77166667,62.84333333
08-03-2021 10:00,1,65.37666667,29.66166667,70.0791,1216.479,93.3472,362.87,27.24666667,62.16
08-03-2021 11:00,1,68.36666667,31.03333333,54.09155556,1083.606667,75.90733333,340.6,27.35555556,58.66666667
